,Location,
Total rows,45288,
Total Locations,204,
,,
,Unique Locations,
,China,222
,Democratic People's Republic of Korea,222
,Taiwan (Province of China),222
,Cambodia,222
,Indonesia,222
,Lao People's Democratic Republic,222
,Malaysia,222
,Maldives,222
,Myanmar,222
,Philippines,222
,Sri Lanka,222
,Thailand,222
,Timor-Leste,222
,Viet Nam,222
,Fiji,222
,Kiribati,222
,Marshall Islands,222
,Micronesia (Federated States of),222
,Papua New Guinea,222
,Samoa,222
,Solomon Islands,222
,Tonga,222
,Vanuatu,222
,Armenia,222
,Azerbaijan,222
,Georgia,222
,Kazakhstan,222
,Kyrgyzstan,222
,Mongolia,222
,Tajikistan,222
,Turkmenistan,222
,Uzbekistan,222
,Albania,222
,Bosnia and Herzegovina,222
,Bulgaria,222
,Croatia,222
,Czechia,222
,Hungary,222
,North Macedonia,222
,Montenegro,222
,Poland,222
,Romania,222
,Serbia,222
,Slovakia,222
,Slovenia,222
,Belarus,222
,Estonia,222
,Latvia,222
,Lithuania,222
,Republic of Moldova,222
,Russian Federation,222
,Ukraine,222
,Brunei Darussalam,222
,Japan,222
,Republic of Korea,222
,Singapore,222
,Australia,222
,New Zealand,222
,Andorra,222
,Austria,222
,Belgium,222
,Cyprus,222
,Denmark,222
,Finland,222
,France,222
,Germany,222
,Greece,222
,Iceland,222
,Ireland,222
,Israel,222
,Italy,222
,Luxembourg,222
,Malta,222
,Netherlands,222
,Norway,222
,Portugal,222
,Spain,222
,Sweden,222
,Switzerland,222
,United Kingdom,222
,Argentina,222
,Chile,222
,Uruguay,222
,Canada,222
,United States of America,222
,Antigua and Barbuda,222
,Bahamas,222
,Barbados,222
,Belize,222
,Cuba,222
,Dominica,222
,Dominican Republic,222
,Grenada,222
,Guyana,222
,Haiti,222
,Jamaica,222
,Saint Lucia,222
,Saint Vincent and the Grenadines,222
,Suriname,222
,Trinidad and Tobago,222
,Bolivia (Plurinational State of),222
,Ecuador,222
,Peru,222
,Colombia,222
,Costa Rica,222
,El Salvador,222
,Guatemala,222
,Honduras,222
,Mexico,222
,Nicaragua,222
,Panama,222
,Venezuela (Bolivarian Republic of),222
,Brazil,222
,Paraguay,222
,Algeria,222
,Bahrain,222
,Egypt,222
,Iran (Islamic Republic of),222
,Iraq,222
,Jordan,222
,Kuwait,222
,Lebanon,222
,Libya,222
,Morocco,222
,Palestine,222
,Oman,222
,Qatar,222
,Saudi Arabia,222
,Syrian Arab Republic,222
,Tunisia,222
,Türkiye,222
,United Arab Emirates,222
,Yemen,222
,Afghanistan,222
,Bangladesh,222
,Bhutan,222
,India,222
,Nepal,222
,Pakistan,222
,Angola,222
,Central African Republic,222
,Congo,222
,Democratic Republic of the Congo,222
,Equatorial Guinea,222
,Gabon,222
,Burundi,222
,Comoros,222
,Djibouti,222
,Eritrea,222
,Ethiopia,222
,Kenya,222
,Madagascar,222
,Malawi,222
,Mauritius,222
,Mozambique,222
,Rwanda,222
,Seychelles,222
,Somalia,222
,United Republic of Tanzania,222
,Uganda,222
,Zambia,222
,Botswana,222
,Lesotho,222
,Namibia,222
,South Africa,222
,Eswatini,222
,Zimbabwe,222
,Benin,222
,Burkina Faso,222
,Cameroon,222
,Cabo Verde,222
,Chad,222
,Côte d'Ivoire,222
,Gambia,222
,Ghana,222
,Guinea,222
,Guinea-Bissau,222
,Liberia,222
,Mali,222
,Mauritania,222
,Niger,222
,Nigeria,222
,Sao Tome and Principe,222
,Senegal,222
,Sierra Leone,222
,Togo,222
,American Samoa,222
,Bermuda,222
,Cook Islands,222
,Greenland,222
,Guam,222
,Monaco,222
,Nauru,222
,Niue,222
,Northern Mariana Islands,222
,Palau,222
,Puerto Rico,222
,Saint Kitts and Nevis,222
,San Marino,222
,Tokelau,222
,Tuvalu,222
,United States Virgin Islands,222
,South Sudan,222
,Sudan,222
